"school" "class" "student" "y"
"131" 4 3 1 51.7613891356509
"132" 4 3 2 51.078686095147
"133" 4 3 3 52.7655057020919
"134" 4 3 4 52.9227630826975
"135" 4 3 5 51.6799834870195
"136" 4 3 6 50.2439273056618
"137" 4 4 1 51.2399625329681
"138" 4 4 2 48.8239901701452
"139" 4 4 3 50.2589074394293
"140" 4 4 4 51.2641010974223
"141" 4 4 5 51.6770455061099
"142" 4 4 6 51.4153837747401
"143" 4 4 7 51.7262296588384
"144" 4 5 1 48.816880403112
"145" 4 6 1 48.8980552563454
"146" 4 6 2 49.6365405032862
"147" 4 6 3 52.0298011050661
"148" 4 6 4 51.2840888402008
"149" 4 6 5 49.9368294922398
"150" 4 7 1 48.39784737767
"151" 4 7 2 50.438206992386
"152" 4 7 3 49.4416851583747
"153" 4 7 4 49.2969562808063
"154" 4 7 5 47.0815382700152
"155" 4 7 6 50.6929289903815
"156" 4 8 1 48.3916552187749
"157" 4 8 2 49.6249326928186
"158" 4 8 3 50.1158445016253
"159" 4 9 1 51.2388596699534
"160" 4 9 2 51.3546227994682
"161" 4 9 3 49.844776700009
"162" 4 9 4 50.5883933674943
"163" 4 10 1 48.0598567429968
"164" 4 10 2 50.1237198932459
"165" 4 10 3 51.0370873381732
"166" 5 1 1 50.6389192961625
"167" 5 1 2 49.9456393928395
"168" 5 1 3 51.4071836197278
"169" 5 2 1 49.4792231073347
"170" 5 2 2 47.7220754484464
"171" 5 2 3 48.0965134870415
"172" 5 2 4 50.449130909863
"173" 5 3 1 49.136131643011
"174" 5 3 2 47.7028657855694
"175" 5 3 3 50.0413675587681
"176" 5 3 4 49.083528491971
"177" 5 4 1 49.8522597919674
"178" 5 4 2 49.9312917929498
"179" 5 4 3 48.6846906199788
"180" 5 4 4 47.7045475672718
"181" 5 5 1 54.5942882610666
"182" 5 5 2 52.9130852545019
"183" 5 5 3 52.8246011633579
"184" 5 6 1 49.7033555988293
"185" 5 6 2 52.5131932823186
"186" 5 6 3 51.0939683329492
"187" 5 7 1 50.6102838136404
"188" 5 7 2 51.9954170364173
"189" 5 7 3 50.4454117051579
"190" 5 8 1 52.2345365517844
"191" 5 8 2 51.8317076797695
"192" 5 8 3 50.4477582887556
"193" 5 8 4 51.9009238844831
"194" 5 8 5 51.0124248244504
"195" 5 9 1 50.6668437480853
"196" 5 9 2 49.5375435248773
"197" 5 9 3 50.1500183210313
"198" 5 9 4 48.4596414799434
"199" 5 10 1 49.8425892540081
"200" 5 10 2 50.9369050643297
"201" 5 10 3 49.7204048314006
"202" 5 10 4 50.6202808799231
"203" 5 10 5 47.9654704365358
"204" 5 10 6 49.1675095037741
"205" 5 10 7 50.4161940133606
"206" 5 11 1 51.2746797996323
"207" 5 11 2 49.2735923996344
"208" 6 1 1 47.5461966510979
"209" 6 1 2 47.6120077712561
"210" 6 1 3 48.605814129964
"211" 6 1 4 47.9784173021685
"212" 6 1 5 48.7729116278858
"213" 6 2 1 49.9772226626245
"214" 6 2 2 50.6813842348508
"215" 6 2 3 51.3790678388987
"216" 6 2 4 52.0202052171367
"217" 6 2 5 50.9389580455156
"218" 6 2 6 49.8603288539217
"219" 6 2 7 50.1492239581145
"220" 6 3 1 47.6446084185152
"221" 6 3 2 46.2201593432642
"222" 7 1 1 48.1827038520996
"223" 7 1 2 46.6701316827266
"224" 7 1 3 47.6032400124201
"225" 7 1 4 47.330114184721
"226" 7 1 5 49.0642147871474
"227" 7 2 1 47.5307423180569
"228" 7 2 2 46.8793150588827
"229" 7 2 3 47.0150753862037
"230" 7 3 1 48.2351195188332
"231" 7 3 2 48.7937330426631
"232" 7 3 3 47.8890549487963
"233" 7 4 1 45.0497650725448
"234" 7 4 2 46.491636849589
"235" 7 4 3 48.306049886047
"236" 7 4 4 48.8653718628764
"237" 7 4 5 48.4236230604313
"238" 7 4 6 48.0160524413552
"239" 7 5 1 48.921540716347
"240" 7 5 2 52.0693862688633
"241" 7 5 3 52.3554685772068
"242" 7 5 4 50.4401679548534
"243" 7 5 5 53.2087143673945
"244" 7 5 6 47.8818258819724
"245" 7 5 7 49.8760820822665
"246" 7 5 8 51.1661108341574
"247" 7 6 1 47.5075553900146
"248" 7 6 2 45.9537025799695
"249" 7 6 3 49.0692175782021
"250" 7 6 4 46.7611321618312
"251" 7 7 1 48.25080716209
"252" 7 7 2 49.6890875582534
"253" 7 7 3 50.9324785541734
"254" 7 7 4 48.886242082199
"255" 7 7 5 48.996439321409
"256" 7 7 6 49.6700775579889
"257" 8 1 1 47.8787680513811
"258" 8 1 2 48.7189403388643
"259" 8 2 1 48.5610434847129
"260" 8 2 2 49.0558787714338
"261" 8 2 3 49.035169209687
"262" 8 2 4 47.4944101151469
"263" 8 3 1 48.492735489683
"264" 8 3 2 49.6001035416377
"265" 8 3 3 49.6406467738172
"266" 8 3 4 49.1245397315841
"267" 8 4 1 50.8647626313426
"268" 8 4 2 48.8818670088478
"269" 8 4 3 52.3357061430751
"270" 8 4 4 51.0685619014621
"271" 8 4 5 50.9352445309158
"272" 8 4 6 50.7281041229578
"273" 8 4 7 50.3805848268562
"274" 8 5 1 50.4657238873478
"275" 8 5 2 50.7685220884836
"276" 8 5 3 49.4366698990821
"277" 8 5 4 52.9725868969001
"278" 8 5 5 51.0557785728326
"279" 8 6 1 50.030569747125
"280" 8 6 2 50.1075372794986
"281" 8 6 3 50.79307054859
"282" 8 6 4 48.5132591524958
"283" 8 6 5 48.4520581411164
"284" 8 6 6 49.752382214857
"285" 8 6 7 49.1049119222503
"286" 8 7 1 55.2195735667624
"287" 8 7 2 51.419038525972
"288" 8 7 3 51.2410552483999
"289" 8 7 4 53.4773512015565
"290" 8 7 5 53.5976911283104
"291" 8 7 6 53.4378808756515
"292" 8 7 7 53.0341973139024
"293" 8 8 1 53.98988454182
"294" 8 8 2 52.2875511944133
"295" 8 8 3 54.2170779570975
"296" 8 8 4 52.4096514762895
"297" 8 8 5 52.9501228911946
"298" 8 8 6 51.2267148775236
"299" 8 8 7 52.45881354053
"300" 8 9 1 51.6308483455478
"301" 8 9 2 51.5973353784078
"302" 8 9 3 50.8678929949692
"303" 8 9 4 49.8548104994568
"304" 8 10 1 50.7475507028594
"305" 8 10 2 47.8022848338334
"306" 8 10 3 49.4474685476736
"307" 8 10 4 48.9158612646759
"308" 8 10 5 48.3220002339883
"309" 8 10 6 49.6469013805802
"310" 9 1 1 48.4838848681603
"311" 9 1 2 49.50768614687
"312" 9 1 3 49.8887141082888
"313" 9 1 4 49.9439014255456
"314" 9 1 5 49.7757207227401
"315" 9 1 6 50.8512361917514
"316" 9 2 1 50.8464762314554
"317" 9 2 2 53.4659306839191
"318" 9 2 3 51.3579995487037
"319" 9 2 4 51.1264616895133
"320" 9 2 5 52.5845275235275
"321" 9 2 6 52.0058409687289
"322" 9 4 1 49.4785766841521
"323" 9 4 2 48.4718435747247
"324" 9 4 3 49.6091059461816
"325" 9 4 4 48.8819337919575
"326" 9 4 5 48.9859684419983
"327" 9 5 1 46.0287554449978
"328" 9 5 2 47.3013405726767
"329" 9 5 3 44.5351803636472
"330" 9 6 1 46.9903890152285
"331" 9 6 2 48.8065855071204
"332" 9 6 3 50.3588087687929
"333" 9 6 4 48.6931016663144
"334" 9 7 1 50.5904126396721
"335" 9 7 2 49.330528125732
"336" 9 7 3 52.1245155135985
"337" 9 7 4 51.5396428825681
"338" 9 7 5 51.1968601550718
"339" 10 1 1 55.8764934160726
"340" 10 1 2 54.260456049889
"341" 10 1 3 55.3314801173378
"342" 10 1 4 54.0876729408819
"343" 10 2 1 55.3587534470494
"344" 10 2 2 52.2344266916923
"345" 10 3 1 54.0351513148253
"346" 10 3 2 53.8515055953217
"347" 10 3 3 53.0726086558691
"348" 10 4 1 54.165078948265
"349" 10 4 2 54.0598147496591
"350" 10 4 3 53.5610348017377
"351" 10 4 4 52.8661930981699
"352" 10 4 5 56.3544720541906
"353" 10 4 6 53.028334587975
"354" 10 5 1 56.935771893415
"355" 10 5 2 56.9959088137871
"356" 10 5 3 56.0421625505599
"357" 10 5 4 57.2975380104131
"358" 10 6 1 53.394490032144
"359" 10 6 2 54.5312394364771
"360" 10 6 3 52.9008201288251
"361" 10 6 4 53.9708827095376
"362" 10 6 5 54.9525690929818
"363" 10 6 6 52.128142950376
"364" 10 6 7 54.3811504361461
"365" 10 7 1 52.40574363229
"366" 10 7 2 52.1716180369392
